"Analysis";"Langauge Code";"Year";"Breakpoint 1";"Breakpoint 2";"alpha";"beta1";"beta2";"intercept"
"Double Breakpoint R";"chi-sim";1905;"Error"
"Double Breakpoint R";"chi-sim";1906;"Error"
"Double Breakpoint R";"chi-sim";1907;"Error"
"Double Breakpoint R";"chi-sim";1908;"Error"
"Double Breakpoint R";"chi-sim";1909;"Error"
"Double Breakpoint R";"chi-sim";1910;"Error"
"Double Breakpoint R";"chi-sim";1911;"Error"
"Double Breakpoint R";"chi-sim";1912;"Error"
"Double Breakpoint R";"chi-sim";1913;"Error"
"Double Breakpoint R";"chi-sim";1914;"Error"
"Double Breakpoint R";"chi-sim";1915;"Error"
"Double Breakpoint R";"chi-sim";1916;"Error"
"Double Breakpoint R";"chi-sim";1917;"Error"
"Double Breakpoint R";"chi-sim";1918;"Error"
"Double Breakpoint R";"chi-sim";1919;"Error"
"Double Breakpoint R";"chi-sim";1920;"Error"
"Double Breakpoint R";"chi-sim";1921;"Error"
"Double Breakpoint R";"chi-sim";1922;"Error"
"Double Breakpoint R";"chi-sim";1923;"Error"
"Double Breakpoint R";"chi-sim";1924;"Error"
"Double Breakpoint R";"chi-sim";1925;"Error"
"Double Breakpoint R";"chi-sim";1926;"Error"
"Double Breakpoint R";"chi-sim";1927;"Error"
"Double Breakpoint R";"chi-sim";1928;"Error"
"Double Breakpoint R";"chi-sim";1929;"Error"
"Double Breakpoint R";"chi-sim";1930;"Error"
"Double Breakpoint R";"chi-sim";1931;"Error"
"Double Breakpoint R";"chi-sim";1932;"Error"
"Double Breakpoint R";"chi-sim";1933;"Error"
"Double Breakpoint R";"chi-sim";1934;"Error"
"Double Breakpoint R";"chi-sim";1935;"Error"
"Double Breakpoint R";"chi-sim";1936;"Error"
"Double Breakpoint R";"chi-sim";1937;"Error"
"Double Breakpoint R";"chi-sim";1938;"Error"
"Double Breakpoint R";"chi-sim";1939;"Error"
"Double Breakpoint R";"chi-sim";1940;"Error"
"Double Breakpoint R";"chi-sim";1941;"Error"
"Double Breakpoint R";"chi-sim";1942;"Error"
"Double Breakpoint R";"chi-sim";1943;"Error"
"Double Breakpoint R";"chi-sim";1944;"Error"
"Double Breakpoint R";"chi-sim";1945;"Error"
"Double Breakpoint R";"chi-sim";1946;"Error"
"Double Breakpoint R";"chi-sim";1947;"Error"
"Double Breakpoint R";"chi-sim";1948;"Error"
"Double Breakpoint R";"chi-sim";1949;"Error"
"Double Breakpoint R";"chi-sim";1950;"Error"
"Double Breakpoint R";"chi-sim";1951;"Error"
"Double Breakpoint R";"chi-sim";1952;"Error"
"Double Breakpoint R";"chi-sim";1953;"Error"
"Double Breakpoint R";"chi-sim";1954;"Error"
"Double Breakpoint R";"chi-sim";1955;"Error"
"Double Breakpoint R";"chi-sim";1956;"Error"
"Double Breakpoint R";"chi-sim";1957;"Error"
"Double Breakpoint R";"chi-sim";1958;"Error"
"Double Breakpoint R";"chi-sim";1959;"Error"
"Double Breakpoint R";"chi-sim";1960;"Error"
"Double Breakpoint R";"chi-sim";1961;"Error"
"Double Breakpoint R";"chi-sim";1962;"Error"
"Double Breakpoint R";"chi-sim";1963;"Error"
"Double Breakpoint R";"chi-sim";1964;"Error"
"Double Breakpoint R";"chi-sim";1965;"Error"
"Double Breakpoint R";"chi-sim";1966;"Error"
"Double Breakpoint R";"chi-sim";1967;"Error"
"Double Breakpoint R";"chi-sim";1968;"Error"
"Double Breakpoint R";"chi-sim";1969;"Error"
"Double Breakpoint R";"chi-sim";1970;"Error"
"Double Breakpoint R";"chi-sim";1971;"Error"
"Double Breakpoint R";"chi-sim";1972;"Error"
"Double Breakpoint R";"chi-sim";1973;"Error"
"Double Breakpoint R";"chi-sim";1974;"Error"
"Double Breakpoint R";"chi-sim";1975;"Error"
"Double Breakpoint R";"chi-sim";1976;"Error"
"Double Breakpoint R";"chi-sim";1977;7.01260880223274;9.0102960305304;-0.920200121318034;-0.724780292883281;-0.497116263651889;15.2708796093307
"Double Breakpoint R";"chi-sim";1978;7.16294881121387;9.31833280565133;-0.931371655130456;-0.760973998092402;-0.804520277207099;15.8553533689399
"Double Breakpoint R";"chi-sim";1979;7.38236141545116;9.49599722765984;-0.97336355765318;-0.825154538625492;-1.06543033274484;16.9731050304418
"Double Breakpoint R";"chi-sim";1980;7.41264350337219;9.51766655436442;-0.972635784757128;-0.847039410190187;-1.11138688667374;17.2530698934141
"Double Breakpoint R";"chi-sim";1981;7.43423096550714;9.58619687291478;-0.976265795579691;-0.892844586482331;-1.05931177092848;17.6712498613365
"Double Breakpoint R";"chi-sim";1982;7.36738605871161;9.56720281271373;-0.956971356893091;-0.898040580668224;-1.12590322701934;17.6930873316715
"Double Breakpoint R";"chi-sim";1983;7.2612804102926;9.4791006001288;-0.931710223191435;-0.876848822377088;-0.9569658516081;17.704764318079
"Double Breakpoint R";"chi-sim";1984;7.3836441912428;9.5693691856041;-0.95123580589178;-0.911944959832546;-1.01501385343197;17.9439071558389
"Double Breakpoint R";"chi-sim";1985;7.34763034149339;9.53420801613226;-0.939050105143015;-0.924078892062237;-0.973366555302746;18.0046759701556
"Double Breakpoint R";"chi-sim";1986;7.31563967965435;9.45602088788529;-0.927673842461563;-0.930106385060193;-0.853704007454877;17.9486563675521
"Double Breakpoint R";"chi-sim";1987;7.28347228057655;9.44965539035133;-0.911895658244158;-0.955224455011513;-0.773668759868673;17.9917342843349
"Double Breakpoint R";"chi-sim";1988;7.26720666826458;9.38233912173265;-0.902393176039928;-0.96075515093999;-0.705755636894053;18.0076371003832
"Double Breakpoint R";"chi-sim";1989;7.2348674629514;9.32966000398048;-0.889241645891096;-0.943370679874573;-0.654175044758268;17.8771550758871
"Double Breakpoint R";"chi-sim";1990;7.20985133755338;9.3040351229352;-0.877261729842328;-0.942773349021073;-0.639783747688634;17.750302857496
"Double Breakpoint R";"chi-sim";1991;8.4535677155896;10.9856180432209;-1.20156522140669;-1.19882800192671;0.392595781319937;19.7671368893175
"Double Breakpoint R";"chi-sim";1992;8.60400389584653;10.9493302458334;-1.23915513836133;-1.20219496711392;0.460282569125187;20.0799755165301
"Double Breakpoint R";"chi-sim";1993;8.61638548866917;10.9888540901616;-1.23768721408325;-1.26489153562702;0.494276978412391;20.1648572447906
"Double Breakpoint R";"chi-sim";1994;8.52904811904469;11.016703639393;-1.20476021050874;-1.2181079925103;0.370127758001442;19.8523904708716
"Double Breakpoint R";"chi-sim";1995;7.27763705282697;9.27965802121993;-0.880274502600124;-0.945157998973368;-0.725931352639614;17.8448878093124
"Double Breakpoint R";"chi-sim";1996;7.24460786972034;9.24444143611233;-0.873700365689234;-0.925521507715122;-0.689308456640594;17.7938650469157
"Double Breakpoint R";"chi-sim";1997;7.29953667142079;9.30352665870417;-0.882556976566791;-0.947596254442094;-0.687988854419035;17.8694020012862
"Double Breakpoint R";"chi-sim";1998;7.26587202431727;9.22926932416185;-0.877084869983912;-0.934195696338164;-0.692944111580263;17.9710596356311
"Double Breakpoint R";"chi-sim";1999;8.49674558199472;10.9881357422733;-1.18020870162028;-1.2124420357611;0.328283084494127;19.8042537984772
"Double Breakpoint R";"chi-sim";2000;7.21540032230064;9.13860592596778;-0.863074229946797;-0.915796455650073;-0.631843052510643;17.9809644962402
"Double Breakpoint R";"fre-all";1800;8.46285062586652;9.89372124911984;-1.01442932588781;-0.382126727518565;-0.350940258573123;15.9526677245344
"Double Breakpoint R";"fre-all";1801;8.45987430205906;9.9042182519387;-1.0077217046234;-0.395592098903499;-0.384462359619675;16.2772823215133
"Double Breakpoint R";"fre-all";1802;8.45117349965712;9.84862885933636;-1.01259780404643;-0.375423597714931;-0.361628591066023;16.194089269257
"Double Breakpoint R";"fre-all";1803;8.5902131913486;9.99460416079931;-1.01901138307665;-0.414160766935115;-0.385260085047251;16.3468006298965
"Double Breakpoint R";"fre-all";1804;8.559719142282;9.93607814001451;-1.02582727262045;-0.416157179005406;-0.323680083344095;16.2274055311955
"Double Breakpoint R";"fre-all";1805;8.54688378619831;9.91196993164988;-1.02003686280201;-0.399210127250891;-0.336076967179314;16.1681797853326
"Double Breakpoint R";"fre-all";1806;8.58947339480697;9.97028374294224;-1.01918249023637;-0.40510034664964;-0.299138705517145;15.9945872943006
"Double Breakpoint R";"fre-all";1807;8.5915149777005;10.0841711104588;-1.01694666374592;-0.440713555538866;-0.339922641474457;16.1364130858859
"Double Breakpoint R";"fre-all";1808;8.52217326118887;9.90741601896702;-1.01036393908812;-0.384378136466702;-0.343552998020847;16.3008224638754
"Double Breakpoint R";"fre-all";1809;8.61052922547549;9.98628227490885;-1.01742235468767;-0.398237146274236;-0.313284097652487;16.2288827997364
"Double Breakpoint R";"fre-all";1810;8.55650297776701;9.96110743705986;-1.00972069967756;-0.415272225231944;-0.339749695611943;16.1598431344459
"Double Breakpoint R";"fre-all";1811;8.61491301746136;10.078367234488;-1.01358432001121;-0.415783648810797;-0.280034711104095;16.0678363554239
"Double Breakpoint R";"fre-all";1812;8.58081765306083;9.995098035553;-1.01278300608442;-0.428243493506825;-0.33396972702392;16.0619773913543
"Double Breakpoint R";"fre-all";1813;8.52618841548789;9.90297702283264;-1.0175211383305;-0.383801786824764;-0.344977472137027;15.9961603130904
"Double Breakpoint R";"fre-all";1814;8.38992343371068;9.82676011712969;-1.00083101137341;-0.373631839441219;-0.371226508708322;15.8162638604283
"Double Breakpoint R";"fre-all";1815;8.4710005115619;9.85255933869793;-1.00852593857006;-0.371624532158582;-0.364219868147348;16.0319709917161
"Double Breakpoint R";"fre-all";1816;8.46020742935122;9.87459739718673;-1.01315578309499;-0.389353224469973;-0.364166392004744;16.1685246393839
"Double Breakpoint R";"fre-all";1817;8.65518260362606;10.0389122832413;-1.02743168207909;-0.436508300643502;-0.322033729655355;16.5705195405128
"Double Breakpoint R";"fre-all";1818;8.65490029540747;10.0651580846392;-1.03007478954288;-0.423337437230309;-0.346487912467293;16.8771821819671
"Double Breakpoint R";"fre-all";1819;8.67744832691283;10.1792346329937;-1.03877053837622;-0.448451681484678;-0.316570918477059;17.090133186776
"Double Breakpoint R";"fre-all";1820;8.64901847050127;10.1212934574285;-1.03455144932019;-0.428994601976156;-0.334108214123088;16.9804122904775
"Double Breakpoint R";"fre-all";1821;8.66028501717241;10.1777871024673;-1.03641281730974;-0.423146060194857;-0.337282454200881;17.2013714876459
"Double Breakpoint R";"fre-all";1822;8.75284861242586;10.3058717097617;-1.04120253061877;-0.456543333843167;-0.315588246463244;17.2406382698984
