id;title;author;authoryearofbirth;authoryearofdeath;language;downloads;subjects;type;alpha_pdf;total_words;unique_words
PG20;Paradise Lost;Milton, John;1608;1674;['en'];2074;{'Adam (Biblical figure) -- Poetry', 'Eve (Biblical figure) -- Poetry', 'Fall of man -- Poetry', 'Bible. Genesis -- History of Biblical events -- Poetry'};Text;"""There is no item named 'SPGC-counts-2018-07-18/PG20_counts.txt' in the archive"""
PG21;Aesop's Fables: Translated by George Fyler Townsend;Aesop;;;['en'];396;"{""Aesop's fables -- Translations into English"", 'Fables, Greek -- Translations into English'}";Text;"""There is no item named 'SPGC-counts-2018-07-18/PG21_counts.txt' in the archive"""
PG22;Roget's Thesaurus;Roget, Peter Mark;1779;1869;['en'];236;{'English language -- Synonyms and antonyms'};Text;0.8909232992110447;179548;37889
PG23;Narrative of the Life of Frederick Douglass, an American Slave;Douglass, Frederick;1818;1895;['en'];4193;{'Slaves -- United States -- Biography', 'Douglass, Frederick, 1818-1895', 'Abolitionists -- United States -- Biography', 'African American abolitionists -- Biography'};Text;1.0773379939398524;40370;4962
PG24;O Pioneers!;Cather, Willa;1873;1947;['en'];448;{'Swedish Americans -- Fiction', 'Domestic fiction', 'Frontier and pioneer life -- Nebraska -- Fiction', 'Women immigrants -- Fiction', 'Women pioneers -- Fiction', 'Farm life -- Fiction', 'Women farmers -- Fiction', 'Brothers and sisters -- Fiction', 'Nebraska -- Fiction', 'Historical fiction'};Text;"""There is no item named 'SPGC-counts-2018-07-18/PG24_counts.txt' in the archive"""
PG25;The 1991 CIA World Factbook;United States. Central Intelligence Agency;;;['en'];53;{'Political statistics -- Handbooks, manuals, etc.', 'Political science -- Handbooks, manuals, etc.', 'World politics -- Handbooks, manuals, etc.', 'Geography -- Handbooks, manuals, etc.'};Text;1.2755311434685228;227618;16633
PG26;Paradise Lost;Milton, John;1608;1674;['en'];737;{'Adam (Biblical figure) -- Poetry', 'Eve (Biblical figure) -- Poetry', 'Fall of man -- Poetry', 'Bible. Genesis -- History of Biblical events -- Poetry'};Text;1.1115790633512572;79881;8940
PG27;Far from the Madding Crowd;Hardy, Thomas;1840;1928;['en'];411;{'Love stories', 'Wessex (England) -- Fiction', 'Women farmers -- Fiction', 'Triangles (Interpersonal relations) -- Fiction', 'Farm life -- Fiction', 'Didactic fiction', 'Pastoral fiction'};Text;1.161247311791648;134774;11076
PG28;Aesop's Fables;Aesop;;;['en'];539;"{""Aesop's fables -- Translations into English"", 'Fables, Greek -- Translations into English'}";Text;1.039778276989376;12225;1962
PG29;The 1990 United States Census;United States. Bureau of the Census;;;['en'];14;{'United States -- Population -- Statistics', 'United States -- Census', 'Housing -- United States -- Statistics'};Text;1.8563508728051863;14231;140
PG30;The Bible, King James Version, Complete;;;;['en'];477;{'Bible'};Text;1.6249187047893743;789844;12555
PG31;"Plays of Sophocles: Oedipus the King; Oedipus at Colonus; Antigone";Sophocles;-496;-406;['en'];828;{'Tragedies', 'Oedipus (Greek mythological figure) -- Drama', 'Greek drama (Tragedy) -- Translations into English', 'Antigone (Mythological character) -- Drama'};Text;1.0893397938021143;36915;4777
PG32;Herland;Gilman, Charlotte Perkins;1860;1935;['en'];642;{'Women -- Fiction', 'Utopias -- Fiction', 'Utopian fiction', 'Black humor'};Text;"""There is no item named 'SPGC-counts-2018-07-18/PG32_counts.txt' in the archive"""
PG33;The Scarlet Letter;Hawthorne, Nathaniel;1804;1864;['en'];2048;{'Puritans -- Fiction', 'Revenge -- Fiction', 'Boston (Mass.) -- History -- Colonial period, ca. 1600-1775 -- Fiction', 'Women immigrants -- Fiction', 'Triangles (Interpersonal relations) -- Fiction', 'Illegitimate children -- Fiction', 'Married women -- Fiction', 'Adultery -- Fiction', 'Psychological fiction', 'Clergy -- Fiction', 'Historical fiction'};Text;1.112021177371286;83543;8369
PG34;Zen and the Art of the Internet;Kehoe, Brendan P.;1970;2011;['en'];57;{'Computer networks', 'Information retrieval', 'Internet', 'Information networks'};Text;1.0376290445780554;23674;3648
PG35;The Time Machine;Wells, H. G. (Herbert George);1866;1946;['en'];5130;{'Dystopias -- Fiction', 'Time travel -- Fiction', 'Science fiction'};Text;"""There is no item named 'SPGC-counts-2018-07-18/PG35_counts.txt' in the archive"""
PG36;The War of the Worlds;Wells, H. G. (Herbert George);1866;1946;['en'];3801;{'Life on other planets -- Fiction', 'Science fiction', 'Mars (Planet) -- Fiction', 'Space warfare -- Fiction', 'War stories', 'Martians -- Fiction', 'Imaginary wars and battles -- Fiction'};Text;"""There is no item named 'SPGC-counts-2018-07-18/PG36_counts.txt' in the archive"""
PG37;The 1990 United States Census [2nd];United States. Bureau of the Census;;;['en'];8;{'United States -- Population -- Statistics', 'United States -- Census', 'Housing -- United States -- Statistics'};Text;2.019049176277303;14765;215
PG38;The Jargon File, Version 2.9.10, 01 Jul 1992;;;;['en'];49;{'Electronic data processing -- Terminology -- Humor', 'Computers -- Humor', 'Computers -- Slang -- Dictionaries'};Text;1.170254919435762;155961;13685
PG39;Hitchhiker's Guide to the Internet;Krol, Ed;;;['en'];397;{'Internet', 'Computer networks'};Text;0.975368637108162;7189;1467
PG40;NorthWestNet User Services Internet Resource Guide (NUSIRG);Kochmer, Jonathan;;;['en'];18;{'Internet'};Text;"""There is no item named 'SPGC-counts-2018-07-18/PG40_counts.txt' in the archive"""
PG41;The Legend of Sleepy Hollow;Irving, Washington;1783;1859;['en'];2216;{'Ghosts -- Fiction', 'New York (State) -- History -- 1775-1865 -- Fiction'};Text;"""There is no item named 'SPGC-counts-2018-07-18/PG41_counts.txt' in the archive"""
PG42;The Strange Case of Dr. Jekyll and Mr. Hyde;Stevenson, Robert Louis;1850;1894;['en'];1671;{'Physicians -- Fiction', 'Science fiction', 'London (England) -- Fiction', 'Horror tales', 'Self-experimentation in medicine -- Fiction', 'Psychological fiction', 'Multiple personality -- Fiction'};Text;1.0111728794251136;25359;3837
PG43;The Strange Case of Dr. Jekyll and Mr. Hyde;Stevenson, Robert Louis;1850;1894;['en'];5317;{'Physicians -- Fiction', 'Science fiction', 'London (England) -- Fiction', 'Horror tales', 'Self-experimentation in medicine -- Fiction', 'Psychological fiction', 'Multiple personality -- Fiction'};Text;"""There is no item named 'SPGC-counts-2018-07-18/PG43_counts.txt' in the archive"""
PG44;The Song of the Lark;Cather, Willa;1873;1947;['en'];160;{'Musical fiction', 'Bildungsromans', 'Opera -- Fiction', 'Swedish Americans -- Fiction', 'Chicago (Ill.) -- Fiction', 'Colorado -- Fiction', 'Young women -- Fiction', 'Children of clergy -- Fiction', 'Women singers -- Fiction'};Text;"""There is no item named 'SPGC-counts-2018-07-18/PG44_counts.txt' in the archive"""
PG45;Anne of Green Gables;Montgomery, L. M. (Lucy Maud);1874;1942;['en'];6911;{'Islands -- Fiction', 'Bildungsromans', 'Prince Edward Island -- History -- 20th century -- Fiction', 'Country life -- Prince Edward Island -- Fiction', 'Shirley, Anne (Fictitious character) -- Fiction', 'Friendship -- Fiction', 'Canada -- History -- 1867-1914 -- Fiction', 'Girls -- Fiction', 'Orphans -- Fiction'};Text;"""There is no item named 'SPGC-counts-2018-07-18/PG45_counts.txt' in the archive"""
PG46;"A Christmas Carol in Prose; Being a Ghost Story of Christmas";Dickens, Charles;1812;1870;['en'];3631;{'Ghost stories', 'Sick children -- Fiction', 'Scrooge, Ebenezer (Fictitious character) -- Fiction', 'Misers -- Fiction', 'London (England) -- Fiction', 'Poor families -- Fiction', 'Christmas stories'};Text;"""There is no item named 'SPGC-counts-2018-07-18/PG46_counts.txt' in the archive"""
PG47;Anne of Avonlea;Montgomery, L. M. (Lucy Maud);1874;1942;['en'];2811;{'Islands -- Fiction', 'Prince Edward Island -- History -- 20th century -- Fiction', 'Shirley, Anne (Fictitious character) -- Fiction', 'Canada -- History -- 1914-1945 -- Fiction', 'Teachers -- Fiction', 'Orphans -- Fiction'};Text;"""There is no item named 'SPGC-counts-2018-07-18/PG47_counts.txt' in the archive"""
PG48;The 1992 CIA World Factbook;United States. Central Intelligence Agency;;;['en'];35;{'Political statistics -- Handbooks, manuals, etc.', 'Political science -- Handbooks, manuals, etc.', 'World politics -- Handbooks, manuals, etc.', 'Geography -- Handbooks, manuals, etc.'};Text;1.3046465689682718;271857;17839
PG49;Surfing the Internet: An Introduction: Version 2.0.2;Polly, Jean Armour;;;['en'];34;{'Electronic mail systems -- Directories', 'Computer network resources -- Directories', 'Internet addresses -- Directories'};Text;0.8970229011622446;8317;2038
PG50;Pi;Hemphill, Scott;;;['en'];87;{'Pi', 'Mathematics'};Dataset;0.5612421353768606;267;157
PG51;Anne of the Island;Montgomery, L. M. (Lucy Maud);1874;1942;['en'];2899;{'Prince Edward Island -- History -- 20th century -- Fiction', 'Self-perception -- Fiction', 'Universities and colleges -- Fiction', 'Shirley, Anne (Fictitious character) -- Fiction', 'Canada -- History -- 1914-1945 -- Fiction', 'Interpersonal relations -- Fiction', 'Nova Scotia -- History -- 20th century -- Fiction', 'Orphans -- Fiction'};Text;"""There is no item named 'SPGC-counts-2018-07-18/PG51_counts.txt' in the archive"""
PG52;The Square Root of 2;Kerr, Stan;;;['en'];19;{'Square root', 'Mathematics'};Dataset;"""There is no item named 'SPGC-counts-2018-07-18/PG52_counts.txt' in the archive"""
PG53;Workshop on Electronic Texts: Proceedings, 9-10 June 1992;Library of Congress;;;['en'];22;{'Electronic books', 'Electronic publishing -- Congresses', 'Text processing (Computer science) -- Congresses'};Text;1.201483637022741;60270;5413
PG54;The Marvelous Land of Oz;Baum, L. Frank (Lyman Frank);1856;1919;['en'];455;{'Friendship -- Juvenile fiction', 'Fantasy literature', 'Oz (Imaginary place) -- Juvenile fiction', 'Witches -- Juvenile fiction', 'Youth -- Conduct of life -- Juvenile fiction', 'Voyages and travels -- Juvenile fiction', 'Kings and rulers -- Juvenile fiction', 'Conduct of life -- Juvenile fiction', 'Women soldiers -- Juvenile fiction', 'Practical jokes -- Juvenile fiction', 'Queens -- Juvenile fiction', 'Magic -- Juvenile fiction'};Text;1.1525389366249477;41751;4293
PG55;The Wonderful Wizard of Oz;Baum, L. Frank (Lyman Frank);1856;1919;['en'];4219;{'Toto (Fictitious character) -- Juvenile fiction', 'Fantasy literature', 'Tin Woodman (Fictitious character) -- Juvenile fiction', 'Courage -- Juvenile fiction', 'Scarecrow (Fictitious character from Baum) -- Juvenile fiction', 'Oz (Imaginary place) -- Juvenile fiction', 'Good and evil -- Juvenile fiction', 'Cowardly Lion (Fictitious character) -- Juvenile fiction', 'Home -- Juvenile fiction', 'Cyclones -- Juvenile fiction', 'Gale, Dorothy (Fictitious character) -- Juvenile fiction', 'Wizard of Oz (Fictitious character) -- Juvenile fiction', 'Dreams -- Juvenile fiction', 'Witches -- Juvenile fiction'};Text;1.3124146679264745;39488;2856
PG56;NREN for All: Insurmountable Opportunity;Polly, Jean Armour;;;['en'];9;{'National Research and Education Network (Computer network)', 'Internet'};Text;0.7860568579911789;3872;1256
PG57;Aladdin and the Magic Lamp;Unknown;;;['en'];151;"{""Children's stories"", 'Arabs -- Folklore', 'Folklore -- Arab countries', 'Fairy tales'}";Text;0.9753739894900824;5247;1076
PG58;Paradise Regained;Milton, John;1608;1674;['en'];160;{'English poetry', 'Jesus Christ -- Temptation -- Poetry', 'Epic poetry', 'Bible. Gospels -- History of Biblical events -- Poetry'};Text;0.8945009392361144;15561;3525
PG59;Discourse on the Method of Rightly Conducting One's Reason and of Seeking Truth in the Sciences;Descartes, René;1596;1650;['en'];824;{'Science -- Methodology', 'Methodology'};Text;1.0948432575226206;23033;2882
PG60;The Scarlet Pimpernel;Orczy, Emmuska Orczy, Baroness;1865;1947;['en'];773;{'Blakeney, Percy, Sir (Fictitious character) -- Fiction', 'Nobility -- Fiction', 'British -- France -- Fiction', 'France -- History -- Revolution, 1789-1799 -- Fiction', 'Adventure stories', 'Historical fiction'};Text;"""There is no item named 'SPGC-counts-2018-07-18/PG60_counts.txt' in the archive"""
PG61;The Communist Manifesto;Engels, Friedrich;1820;1895;['en'];2608;{'Socialism', 'Communism'};Text;0.9578043645371332;11347;2170
PG62;A Princess of Mars;Burroughs, Edgar Rice;1875;1950;['en'];1547;{'Dejah Thoris (Fictitious character) -- Fiction', 'Science fiction', 'Mars (Planet) -- Fiction', 'Princesses -- Fiction', 'Carter, John (Fictitious character) -- Fiction'};Text;1.1526871740995315;67234;6441
PG63;"The Number ""e""";Unknown;;;['en'];18;{'Mathematical constants', 'Mathematics'};Text;0.48976772245418654;84;56
PG64;The Gods of Mars;Burroughs, Edgar Rice;1875;1950;['en'];538;{'Life on other planets -- Fiction', 'Dejah Thoris (Fictitious character) -- Fiction', 'Science fiction', 'Mars (Planet) -- Fiction', 'Carter, John (Fictitious character) -- Fiction'};Text;1.2074000830500549;82501;6759
PG65;The First 100,000 Prime Numbers;Unknown;;;['en'];48;{'Numbers, Prime', 'Mathematics'};Dataset;0.2652977477378697;9;8
PG66;The Dawn of Amateur Radio in the U.K. and Greece: A Personal View;Joly, Norman F.;;;['en'];12;{'Radio broadcasting'};Text;1.0180843206442396;29524;4481
PG67;The Black Experience in America;Coombs, Norman;1932;;['en'];86;{'African Americans -- History', 'Slavery -- United States -- History'};Text;1.1319111243700082;75686;7531
PG68;Warlord of Mars;Burroughs, Edgar Rice;1875;1950;['en'];459;{'Dejah Thoris (Fictitious character) -- Fiction', 'Mars (Planet) -- Fiction', 'Carter, John (Fictitious character) -- Fiction', 'Science fiction'};Text;1.1513317595962387;57052;5647
PG69;The 32nd Mersenne Prime: Predicted by Mersenne;Slowinski, David;;;['en'];16;{'Numbers, Prime', 'Number theory'};Text;0.2360440240652509;64;55
PG70;What Is Man? and Other Essays;Twain, Mark;1835;1910;['en'];637;{'American essays'};Text;"""There is no item named 'SPGC-counts-2018-07-18/PG70_counts.txt' in the archive"""
PG71;On the Duty of Civil Disobedience;Thoreau, Henry David;1817;1862;['en'];777;{'Civil disobedience', 'Government, Resistance to'};Text;"""There is no item named 'SPGC-counts-2018-07-18/PG71_counts.txt' in the archive"""
PG72;Thuvia, Maid of Mars;Burroughs, Edgar Rice;1875;1950;['en'];377;{'Martians -- Fiction', 'Mars (Planet) -- Fiction', 'Science fiction'};Text;1.1259156857636528;46980;5194
PG73;The Red Badge of Courage: An Episode of the American Civil War;Crane, Stephen;1871;1900;['en'];672;{'Virginia -- History -- Civil War, 1861-1865 -- Fiction', 'United States -- History -- Civil War, 1861-1865 -- Fiction', 'War stories', 'Chancellorsville, Battle of, Chancellorsville, Va., 1863 -- Fiction', 'Historical fiction'};Text;1.035573009805195;45654;5956
PG74;The Adventures of Tom Sawyer;Twain, Mark;1835;1910;['en'];11645;{'Male friendship -- Fiction', 'Bildungsromans', 'Runaway children -- Fiction', 'Missouri -- Fiction', 'Humorous stories', 'Child witnesses -- Fiction', 'Boys -- Fiction', 'Adventure stories', 'Sawyer, Tom (Fictitious character) -- Fiction', 'Mississippi River Valley -- Fiction'};Text;"""There is no item named 'SPGC-counts-2018-07-18/PG74_counts.txt' in the archive"""
PG75;E-mail 101;Goodwin, John E.;;;['en'];52;{'Electronic mail systems'};Text;1.0981867261729197;19386;2661
PG76;Adventures of Huckleberry Finn;Twain, Mark;1835;1910;['en'];7685;{'Finn, Huckleberry (Fictitious character) -- Fiction', 'Male friendship -- Fiction', 'Fugitive slaves -- Fiction', 'Bildungsromans', 'Runaway children -- Fiction', 'Missouri -- Fiction', 'Humorous stories', 'Boys -- Fiction', 'Mississippi River -- Fiction', 'Adventure stories', 'Race relations -- Fiction'};Text;"""There is no item named 'SPGC-counts-2018-07-18/PG76_counts.txt' in the archive"""
PG77;The House of the Seven Gables;Hawthorne, Nathaniel;1804;1864;['en'];559;{'Salem (Mass.) -- Fiction', 'Haunted houses -- Fiction', 'Domestic fiction', 'Paranormal fiction', 'Historical fiction'};Text;1.1300486281105173;104737;9569
PG78;Tarzan of the Apes;Burroughs, Edgar Rice;1875;1950;['en'];1460;{'Tarzan (Fictitious character) -- Fiction', 'Africa -- Fiction', 'British -- Africa -- Fiction', 'Adventure stories', 'Wild men -- Fiction', 'Fantasy fiction'};Text;1.193337075909209;85095;7180
PG79;Terminal Compromise;Schwartau, Winn;;;['en'];21;{'Computer security -- Fiction', 'Didactic fiction', 'Privacy, Right of -- Fiction', 'Records -- Access control -- Fiction'};Text;1.2366694735924495;209058;14419
PG80;The Online World;De Presno, Odd;;;['en'];30;{'Internet'};Text;1.2099966049088406;83707;7641
PG81;The Return of Tarzan;Burroughs, Edgar Rice;1875;1950;['en'];477;{'Tarzan (Fictitious character) -- Fiction', 'Fantasy fiction', 'Adventure stories'};Text;1.2076860375821887;89092;7073
