"Analysis";"Langauge Code";"Year";"Breakpoint 1";"Breakpoint 2";"alpha";"beta1";"beta2";"intercept"
"Double Breakpoint R";"eng-gb";1822;8.27546394847404;9.76781686494734;-0.993511436184413;-0.396029508285886;-0.385953611187282;16.7591208525891
"Double Breakpoint R";"eng-gb";1823;8.22246551056742;9.69540529084894;-0.995904386267956;-0.383701790432032;-0.400206820182611;16.7863168237286
"Double Breakpoint R";"eng-gb";1824;8.24908980468452;9.72207921202034;-0.996536895232898;-0.377958681253519;-0.405049592845382;16.9708572378588
"Double Breakpoint R";"eng-gb";1825;8.29696911606187;9.77893553900767;-0.988758331592857;-0.39484340163431;-0.405489673254927;16.9841460762605
"Double Breakpoint R";"eng-gb";1826;8.31466094219796;9.80965659912033;-0.991597689440436;-0.393105159535019;-0.409112281856947;16.7891462716082
"Double Breakpoint R";"eng-gb";1827;8.29640969205165;9.80767896159543;-0.986072498436722;-0.393382319896537;-0.409981195725842;16.6684166052703
"Double Breakpoint R";"eng-gb";1828;8.28361166262256;9.78562891788063;-0.986756155641196;-0.400402050709627;-0.403373343950176;16.7557328830096
"Double Breakpoint R";"eng-gb";1829;8.2732895559462;9.73593093960413;-0.98497675995763;-0.387764701255988;-0.385146303464075;16.7020615399079
"Double Breakpoint R";"eng-gb";1830;8.34181118706578;9.7719154750188;-0.999133067683657;-0.406952292762623;-0.377107438470468;17.0788151076241
"Double Breakpoint R";"eng-gb";1831;8.34175626116483;9.81163079399862;-0.987405968857272;-0.433176445913398;-0.403084232675079;16.7635996626291
"Double Breakpoint R";"eng-gb";1832;8.37776404798709;9.87177498251687;-0.993527846385409;-0.421816971778467;-0.390488500627551;16.7868985123034
"Double Breakpoint R";"eng-gb";1833;8.38665886700428;9.88378396806432;-0.995047517854339;-0.413567839069506;-0.409188099665618;16.8549514305401
"Double Breakpoint R";"eng-gb";1834;8.27637635921528;9.69198527941347;-0.975492217277121;-0.364758318406506;-0.407725831714057;16.6997008923977
"Double Breakpoint R";"eng-gb";1835;8.3077430615324;9.78254576392565;-0.980797039154802;-0.415914731808687;-0.398496410138127;16.8280729293633
"Double Breakpoint R";"eng-gb";1836;8.38609125225185;9.80424838403077;-0.987596525572462;-0.430704958018345;-0.395399296430425;16.8171557351708
"Double Breakpoint R";"eng-gb";1837;8.29260838015618;9.81917441001974;-0.98966950842239;-0.383226188405159;-0.386918270792859;16.9740818501098
"Double Breakpoint R";"eng-gb";1838;8.33851748228552;9.81683526791773;-0.986630326871285;-0.402795376826274;-0.368707381323078;17.0081647525366
"Double Breakpoint R";"eng-gb";1839;8.44670618003589;9.86294483592482;-1.00955669237847;-0.422141134002041;-0.334309400345245;17.2403447937868
"Double Breakpoint R";"eng-gb";1840;8.36657842932476;9.83460783899988;-0.994606159966619;-0.404974615678281;-0.361606413618554;17.1756976244389
"Double Breakpoint R";"eng-gb";1841;8.4524526941417;9.95401041160372;-1.0002524327443;-0.420122561746401;-0.34703985716764;17.0625517898105
